2023-02-17-0001 40 4 8
2023-02-17-0002 20 2 12
2023-02-17-0003 40 4 5
2023-02-17-0004 40 4 17
2023-02-17-0005 20 2 6
2023-02-17-0006 20 2 5
2023-02-17-0007 40 4 6
2023-02-17-0008 20 2 13
2023-02-17-0009 40 4 7
2023-02-17-0010 40 4 9
2023-02-17-0011 40 4 1
2023-02-17-0012 20 2 5
2023-02-17-0013 40 4 0
2023-02-17-0014 40 4 22
2023-02-17-0015 40 4 1
2023-02-17-0016 40 4 0
2023-02-17-0017 20 2 9
2023-02-17-0018 20 2 12
2023-02-17-0019 20 2 14
2023-02-17-0020 40 4 1
2023-02-17-0021 40 4 18
2023-02-17-0022 40 4 10
2023-02-17-0023 40 4 3
2023-02-17-0024 40 4 4
2023-02-17-0025 40 4 20
2023-02-17-0026 20 2 8
2023-02-17-0027 40 4 20
2023-02-17-0028 20 2 6
2023-02-17-0029 40 4 5
2023-02-17-0030 20 2 18
2023-02-17-0031 20 2 15
2023-02-17-0032 40 4 21
2023-02-17-0033 40 4 7
2023-02-17-0034 20 2 20
2023-02-17-0035 20 2 13
2023-02-17-0036 20 2 2
2023-02-17-0037 40 4 20
2023-02-17-0038 20 2 20
2023-02-17-0039 40 4 13
2023-02-17-0040 20 2 15
2023-02-17-0041 40 4 20
2023-02-17-0042 40 4 0
2023-02-17-0043 40 4 16
2023-02-17-0044 20 2 20
2023-02-17-0045 20 2 7
2023-02-17-0046 40 4 18
2023-02-17-0047 20 2 10
2023-02-17-0048 20 2 11
2023-02-17-0049 20 2 18
2023-02-17-0050 40 4 0
2023-02-17-0051 20 2 8
2023-02-17-0052 20 2 11
2023-02-17-0053 20 2 17
2023-02-17-0054 20 2 3
2023-02-17-0055 20 2 7
2023-02-17-0056 20 2 8
2023-02-17-0057 20 2 17
2023-02-17-0058 40 4 14
2023-02-17-0059 20 2 6
2023-02-17-0060 20 2 4
2023-02-17-0061 20 2 1
2023-02-17-0062 40 4 7
2023-02-17-0063 20 2 2
2023-02-17-0064 20 2 6
2023-02-17-0065 20 2 0
2023-02-17-0066 40 4 5
2023-02-17-0067 40 4 8
2023-02-17-0068 40 4 0
2023-02-17-0069 20 2 18
2023-02-17-0070 20 2 20
2023-02-17-0071 20 2 1
2023-02-17-0072 20 2 12
2023-02-17-0073 40 4 13
2023-02-17-0074 20 2 19
2023-02-17-0075 20 2 4
2023-02-17-0076 40 4 18
2023-02-17-0077 20 2 13
2023-02-17-0078 20 2 17
2023-02-17-0079 40 4 5
2023-02-17-0080 20 2 5
2023-02-17-0081 20 2 9
2023-02-17-0082 40 4 12
2023-02-17-0083 40 4 6
2023-02-17-0084 20 2 11
2023-02-17-0085 20 2 8
2023-02-17-0086 40 4 5
2023-02-17-0087 40 4 6
2023-02-17-0088 20 2 2
2023-02-17-0089 40 4 9
2023-02-17-0090 20 2 11
2023-02-17-0091 40 4 18
2023-02-17-0092 40 4 12
2023-02-17-0093 20 2 18
2023-02-17-0094 40 4 22
2023-02-17-0095 40 4 9
2023-02-17-0096 20 2 1
2023-02-17-0097 40 4 16
2023-02-17-0098 40 4 6
2023-02-17-0099 20 2 14
2023-02-17-0100 20 2 13
2023-02-17-0101 40 4 5
2023-02-17-0102 20 2 4
2023-02-17-0103 40 4 3
2023-02-17-0104 20 2 1
2023-02-17-0105 40 4 20
2023-02-17-0106 40 4 8
2023-02-17-0107 40 4 8
2023-02-17-0108 40 4 7
2023-02-17-0109 20 2 7
2023-02-17-0110 40 4 9
2023-02-17-0111 40 4 13
2023-02-17-0112 40 4 4
2023-02-17-0113 20 2 14
2023-02-17-0114 40 4 19
2023-02-17-0115 40 4 4
2023-02-17-0116 20 2 17
2023-02-17-0117 20 2 4
2023-02-17-0118 40 4 19
2023-02-17-0119 40 4 18
2023-02-17-0120 20 2 5
2023-02-17-0121 20 2 1
2023-02-17-0122 40 4 9
2023-02-17-0123 20 2 13
2023-02-17-0124 20 2 8
2023-02-17-0125 40 4 9
2023-02-17-0126 40 4 0
2023-02-17-0127 40 4 20
2023-02-17-0128 20 2 0
2023-02-17-0129 20 2 20
2023-02-17-0130 20 2 20
2023-02-17-0131 40 4 22
2023-02-17-0132 40 4 18
2023-02-17-0133 20 2 9
2023-02-17-0134 20 2 14
2023-02-17-0135 40 4 0
2023-02-17-0136 20 2 6
2023-02-17-0137 20 2 16
2023-02-17-0138 40 4 22
2023-02-17-0139 40 4 17
2023-02-17-0140 20 2 2
2023-02-17-0141 40 4 2
2023-02-17-0142 40 4 4
2023-02-17-0143 40 4 6
2023-02-17-0144 20 2 20
2023-02-17-0145 40 4 10
2023-02-17-0146 40 4 22
2023-02-17-0147 40 4 0
2023-02-17-0148 40 4 19
2023-02-17-0149 40 4 6
2023-02-17-0150 40 4 2
2023-02-17-0151 40 4 1
2023-02-17-0152 40 4 1
2023-02-17-0153 20 2 13
2023-02-17-0154 20 2 8
2023-02-17-0155 40 4 20
2023-02-17-0156 40 4 12
2023-02-17-0157 40 4 1
2023-02-17-0158 40 4 15
2023-02-17-0159 20 2 13
2023-02-17-0160 40 4 6
2023-02-17-0161 20 2 9
2023-02-17-0162 20 2 14
2023-02-17-0163 20 2 8
2023-02-17-0164 20 2 20
2023-02-17-0165 40 4 18
2023-02-17-0166 40 4 3
2023-02-17-0167 20 2 11
2023-02-17-0168 40 4 2
2023-02-17-0169 40 4 20
2023-02-17-0170 40 4 5
2023-02-17-0171 20 2 6
2023-02-17-0172 20 2 6
2023-02-17-0173 40 4 15
2023-02-17-0174 40 4 15
2023-02-17-0175 40 4 18
2023-02-17-0176 40 4 22
2023-02-17-0177 40 4 19
2023-02-17-0178 20 2 1
2023-02-17-0179 20 2 11
2023-02-17-0180 20 2 0
2023-02-17-0181 20 2 7
2023-02-17-0182 20 2 1
2023-02-17-0183 20 2 2
2023-02-17-0184 40 4 22
2023-02-17-0185 40 4 12
2023-02-17-0186 20 2 15
2023-02-17-0187 20 2 15
